車次,出發時間,抵達時間,行駛時間,票價
自強(3000) 5374 ( 臺東 → 七堵 ),10:40,14:16,3 小時 36 分,$ 738
自強 118 ( 潮州 → 七堵 ),10:46,15:00,4 小時 14 分,$ 738
自強(3000) 120 ( 潮州 → 七堵 ),11:09,15:18,4 小時 9 分,$ 738
自強 172 ( 潮州 → 花蓮 ),11:46,16:00,4 小時 14 分,$ 738
莒光 516 ( 高雄 → 七堵 ),12:01,17:16,5 小時 15 分,$ 569
自強 122 ( 潮州 → 基隆 ),12:35,17:00,4 小時 25 分,$ 738
普悠瑪 124 ( 潮州 → 南港 ),13:01,16:10,3 小時 9 分,$ 738
自強 176 ( 潮州 → 瑞芳 ),13:32,17:51,4 小時 19 分,$ 738
區間快 5424 ( 鳳山 → 七堵 ),13:55,18:39,4 小時 44 分,$ 474
自強 128 ( 屏東 → 基隆 ),14:10,18:25,4 小時 15 分,$ 738
莒光 554 ( 潮州 → 花蓮 ),14:33,21:02,6 小時 29 分,$ 569
自強(3000) 132 ( 枋寮 → 七堵 ),14:46,18:15,3 小時 29 分,$ 738
自強(3000) 5376 ( 臺東 → 七堵 ),15:07,19:02,3 小時 55 分,$ 738
自強 134 ( 屏東 → 基隆 ),15:09,19:42,4 小時 33 分,$ 738
普悠瑪 136 ( 潮州 → 南港 ),15:54,19:07,3 小時 13 分,$ 738
區間快 1038 ( 潮州 → 七堵 ),15:58,21:31,5 小時 33 分,$ 474
自強 138 ( 屏東 → 七堵 ),16:13,20:32,4 小時 19 分,$ 738
自強 142 ( 潮州 → 七堵 ),16:49,21:08,4 小時 19 分,$ 738
自強 144 ( 屏東 → 基隆 ),17:35,22:00,4 小時 25 分,$ 738
自強(3000) 146 ( 潮州 → 七堵 ),18:00,22:12,4 小時 12 分,$ 738
自強(3000) 168 ( 臺東 → 七堵 ),18:24,22:21,3 小時 57 分,$ 738
自強 150 ( 屏東 → 七堵 ),18:55,23:16,4 小時 21 分,$ 738
自強(3000) 154 ( 潮州 → 南港 ),19:16,22:42,3 小時 26 分,$ 738
自強 152 ( 屏東 → 七堵 ),19:45,00:02,4 小時 17 分,$ 738
